country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Connecticut,,2020-02-15,4,-4,16,8,-2,0
US,United States,Connecticut,,2020-02-16,5,-5,-4,3,0,0
US,United States,Connecticut,,2020-02-17,11,1,33,-1,-29,6
US,United States,Connecticut,,2020-02-18,-1,-5,-14,0,-8,3
US,United States,Connecticut,,2020-02-19,2,-1,12,4,0,0
US,United States,Connecticut,,2020-02-20,2,-1,2,3,2,0
US,United States,Connecticut,,2020-02-21,1,-5,-3,1,1,1
US,United States,Connecticut,,2020-02-22,10,-1,74,10,3,-2
US,United States,Connecticut,,2020-02-23,9,0,64,14,2,-1
US,United States,Connecticut,,2020-02-24,4,2,45,3,4,0
US,United States,Connecticut,,2020-02-25,1,-1,4,1,2,0
US,United States,Connecticut,,2020-02-26,5,1,3,2,2,0
US,United States,Connecticut,,2020-02-27,3,1,4,3,3,0
US,United States,Connecticut,,2020-02-28,4,0,1,3,3,0
US,United States,Connecticut,,2020-02-29,9,0,27,6,2,-2
US,United States,Connecticut,,2020-03-01,10,5,-1,10,3,-1
US,United States,Connecticut,,2020-03-02,7,8,31,2,4,-1
US,United States,Connecticut,,2020-03-03,6,10,19,5,3,-1
US,United States,Connecticut,,2020-03-04,6,8,22,4,2,-1
US,United States,Connecticut,,2020-03-05,7,8,29,5,3,-1
US,United States,Connecticut,,2020-03-06,2,1,1,2,2,1
US,United States,Connecticut,,2020-03-07,10,6,50,7,3,-1
US,United States,Connecticut,,2020-03-08,8,3,55,10,2,0
US,United States,Connecticut,,2020-03-09,9,8,95,2,2,-1
US,United States,Connecticut,,2020-03-10,4,9,24,0,1,0
US,United States,Connecticut,,2020-03-11,5,12,30,-3,-1,0
US,United States,Connecticut,,2020-03-12,5,34,10,-9,-2,2
US,United States,Connecticut,,2020-03-13,-4,30,6,-18,-12,6
US,United States,Connecticut,,2020-03-14,-7,16,95,-12,-3,3
US,United States,Connecticut,,2020-03-15,-13,4,56,-19,-8,5
US,United States,Connecticut,,2020-03-16,-7,26,16,-25,-23,9
US,United States,Connecticut,,2020-03-17,-27,8,-10,-30,-31,14
US,United States,Connecticut,,2020-03-18,-27,6,46,-30,-34,14
US,United States,Connecticut,,2020-03-19,-33,2,-12,-40,-36,17
US,United States,Connecticut,,2020-03-20,-32,12,12,-41,-37,18
US,United States,Connecticut,,2020-03-21,-38,1,100,-38,-26,11
US,United States,Connecticut,,2020-03-22,-43,-15,27,-48,-29,11
US,United States,Connecticut,,2020-03-23,-47,-24,-46,-53,-45,21
US,United States,Connecticut,,2020-03-24,-43,-16,17,-46,-47,21
US,United States,Connecticut,,2020-03-25,-46,-19,-21,-51,-49,22
US,United States,Connecticut,,2020-03-26,-41,-14,55,-48,-48,21
US,United States,Connecticut,,2020-03-27,-42,-16,55,-51,-47,22
US,United States,Connecticut,,2020-03-28,-48,-20,29,-55,-35,15
US,United States,Connecticut,,2020-03-29,-56,-32,-52,-64,-38,15
US,United States,Connecticut,,2020-03-30,-43,-19,-6,-53,-49,21
US,United States,Connecticut,,2020-03-31,-42,-18,8,-51,-51,22
US,United States,Connecticut,,2020-04-01,-40,-11,28,-49,-51,21
US,United States,Connecticut,,2020-04-02,-44,-12,-3,-54,-51,23
US,United States,Connecticut,,2020-04-03,-46,-12,-35,-59,-52,26
US,United States,Connecticut,,2020-04-04,-47,-15,88,-53,-38,15
US,United States,Connecticut,,2020-04-05,-50,-26,23,-61,-38,13
US,United States,Connecticut,,2020-04-06,-39,-16,60,-52,-52,21
US,United States,Connecticut,,2020-04-07,-41,-16,42,-50,-53,22
US,United States,Connecticut,,2020-04-08,-46,-17,-3,-54,-54,23
US,United States,Connecticut,,2020-04-09,-48,-17,-32,-59,-55,25
US,United States,Connecticut,,2020-04-10,-45,-10,-10,-59,-62,28
US,United States,Connecticut,,2020-04-11,-44,-9,76,-54,-40,15
